Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Bodenbearbeitung_Massnahme_ID
4849,2020,2020-03-30T00:00:00,49,13
4850,2020,2020-03-30T00:00:00,50,13
4851,2020,2020-03-30T00:00:00,51,13
4852,2020,2020-03-30T00:00:00,52,13
4853,2020,2020-03-30T00:00:00,53,13
4854,2020,2020-03-30T00:00:00,54,13
4855,2020,2020-03-30T00:00:00,55,13
4856,2020,2020-03-30T00:00:00,56,13
4857,2020,2020-03-30T00:00:00,57,13
4858,2020,2020-03-30T00:00:00,58,13
4859,2020,2020-03-30T00:00:00,59,13
4860,2020,2020-03-30T00:00:00,60,13
4861,2020,2020-03-30T00:00:00,61,13
4862,2020,2020-03-30T00:00:00,62,13
4863,2020,2020-03-30T00:00:00,63,13
4864,2020,2020-03-30T00:00:00,64,13
4865,2020,2020-08-25T00:00:00,1,16
4866,2020,2020-08-25T00:00:00,2,16
4867,2020,2020-08-25T00:00:00,3,16
4868,2020,2020-08-25T00:00:00,4,16
4869,2020,2020-08-25T00:00:00,5,16
4870,2020,2020-08-25T00:00:00,6,16
4871,2020,2020-08-25T00:00:00,7,16
4872,2020,2020-08-25T00:00:00,8,16
4873,2020,2020-08-25T00:00:00,9,16
4874,2020,2020-08-25T00:00:00,10,16
4875,2020,2020-08-25T00:00:00,11,16
4876,2020,2020-08-25T00:00:00,12,16
4877,2020,2020-08-25T00:00:00,13,16
4878,2020,2020-08-25T00:00:00,14,16
4879,2020,2020-08-25T00:00:00,15,16
